p2aea9dytpE	NA	Software engineering is dead now	https://www.youtube.com/watch?v=p2aea9dytpE
MWFyApldYDA	NA	Trump actually threatened Anthropic (this is bad…)	https://www.youtube.com/watch?v=MWFyApldYDA
h8Pz51ZEW5U	NA	They cut Node.js Memory in half 👀	https://www.youtube.com/watch?v=h8Pz51ZEW5U
9iUd2Ik-bBI	NA	My new app is really stupid (I wrote none of the code)	https://www.youtube.com/watch?v=9iUd2Ik-bBI
_k22WAEAfpE	NA	Anthropic is lying to us.	https://www.youtube.com/watch?v=_k22WAEAfpE
