NA\tI'm so f***ing tired of Obsidian.\thttps://www.youtube.com/watch?v=h6ukrWyqOm4
NA\tCursor, Claude Code and Codex all have a BIG problem\thttps://www.youtube.com/watch?v=73F6ZURl1MQ
NA\tSoftware engineering is dead now\thttps://www.youtube.com/watch?v=p2aea9dytpE
NA\tTrump actually threatened Anthropic (this is bad…)\thttps://www.youtube.com/watch?v=MWFyApldYDA
NA\tThey cut Node.js Memory in half 👀\thttps://www.youtube.com/watch?v=h8Pz51ZEW5U
NA\tMy new app is really stupid (I wrote none of the code)\thttps://www.youtube.com/watch?v=9iUd2Ik-bBI
NA\tAnthropic is lying to us.\thttps://www.youtube.com/watch?v=_k22WAEAfpE
NA\tDelete your CLAUDE.md (and your AGENT.md too)\thttps://www.youtube.com/watch?v=GcNu6wrLTJc
NA\tGemini 3.1 Pro is the smartest model ever made\thttps://www.youtube.com/watch?v=rncxz2XROUg
NA\tThe Future of TypeScript\thttps://www.youtube.com/watch?v=wvt5JNUXXLM
NA\tWe need to talk about Sonnet 4.6\thttps://www.youtube.com/watch?v=M-pkXr-qqII
NA\tA realistic comparison of Opus and Codex\thttps://www.youtube.com/watch?v=1SJGGUeEbQs
